t_s,mode,wall,x_m,y_m,z_m,nose_x,nose_z,roll_rad,pitch_rad,heading_rad,desired_heading_rad,heading_error_rad,clearance_m,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,left_effort,right_effort,wp_x,wp_z
0.896,self_right,none,-0.16173191351869687,0.8317260014678513,-5.826075770678183,-0.13106643618802274,-5.407196756522446,1.3941462328472252,-0.27126780274780193,0.07307806829973426,-1.5651745094517302,-1.6382525777514645,4.592803243477554,-0.13123654389705744,0.14967760665308832,0.43981554836009223,-0.057389662904445124,0.5198253165754002,-0.03743225585239551,0.013523219454113854,0.05952924008829073,-4.8,-5.8
0.912,self_right,none,-0.16378318933239883,0.8340839591443532,-5.819166044235524,-0.13336249284293872,-5.4002691819590245,1.3939020572544125,-0.262470296843749,0.07249370954428548,-1.5666623667499033,-1.6391560762941888,4.5997308180409755,-0.12820473835637242,0.14737235478137323,0.43185790266621515,-0.05466774747479325,0.5473213213831764,-0.04054697410672508,0.01283810270536311,0.06646384522573168,-4.8,-5.8
0.928,self_right,none,-0.16578277724388596,0.836407295405721,-5.812381951742037,-0.13562603012298433,-5.393466004799114,1.3937146515273173,-0.2533607076670339,0.07186361805625552,-1.5681244791703928,-1.6399880972266483,4.606533995200886,-0.12497424446794561,0.14520851633548754,0.4240057808428882,-0.05235555650579026,0.5670540862024781,-0.04236829725940265,0.01215053412471665,0.07346500755445927,-4.8,-5.8
0.944,self_right,none,-0.167730409795503,0.8387104524384248,-5.805683256664486,-0.13781186825283873,-5.386750229950239,1.3935206341247321,-0.24444978559792185,0.07129500586167456,-1.5695694435787417,-1.6408644494404163,4.613249770049761,-0.12172703447606399,0.14394731454398596,0.4186684423469238,-0.05155350341474266,0.554669672520997,-0.038525470956828366,0.011462525471678649,0.08047811604572548,-4.8,-5.8
0.96,self_right,none,-0.16962960081372402,0.8410016757652604,-5.79904371073487,-0.13992510110540132,-5.380095452954654,1.3933250282358887,-0.23574973624675322,0.07078409379418578,-1.5710028522278732,-1.6417869460220589,4.619904547045346,-0.11869943863881394,0.1432014579272245,0.41497162060101517,-0.050440573338521914,0.5415421763005828,-0.03483921937315212,0.010776088505753293,0.08744855967078224,-4.8,-5.8
0.976,self_right,none,-0.17147303829032273,0.8432795529005231,-5.792466648968396,-0.14196543082662932,-5.373504477523564,1.393134092186059,-0.2271888576189543,0.07031413367878883,-1.572423916834201,-1.6427380505129898,4.626495522476436,-0.11521484228741961,0.14236732095392252,0.41106636040469174,-0.0493030306633637,0.5329084390457156,-0.03211017268054583,0.010093234986444757,0.09432172740088175,-4.8,-5.8
0.992,self_right,none,-0.17325810205986938,0.8455429046388424,-5.785954658958468,-0.14393346295219095,-5.36697964115764,1.3929528224409267,-0.21872655070306046,0.06987742229885409,-1.5738320046449106,-1.6437094269437647,4.63302035884236,-0.11156648559666549,0.1414594836449537,0.4069993756205242,-0.048065017083183,0.5268246820743043,-0.029799576381529004,0.009415976673257229,0.1010430082072761,-4.8,-5.8
1.008,self_right,none,-0.1749842579293495,0.8477907774392386,-5.77951004735829,-0.14583190282083563,-5.360523006757239,1.3927852437246904,-0.21031863375558466,0.06946622469149316,-1.57522654276245,-1.6446927674539433,4.639476993242761,-0.10788474184250729,0.1404920500247586,0.4027882250110869,-0.04679164145972679,0.5235105848206483,-0.02792951579881044,0.008746325325694906,0.1075577910612174,-4.8,-5.8
1.024,self_right,none,-0.17665353613404255,0.8500225760845604,-5.773134245440608,-0.1476656709237025,-5.354135792375985,1.392634169013834,-0.2019264582683794,0.06907364057803406,-1.5766071507053632,-1.6456807912833973,4.645864207624015,-0.10432988779331571,0.1394874153326149,0.39848761985509584,-0.045524216850666634,0.5226164600543728,-0.026469016235340287,0.008086292703261956,0.1138114649339577,-4.8,-5.8
1.04,self_right,none,-0.1782703448329522,0.8522380521856376,-5.7668277296290915,-0.14944210864049062,-5.347818263389924,1.3925014319413844,-0.1935148352379169,0.0686926680066045,-1.577973661522443,-1.6466663295290473,4.652181736610076,-0.10105054368185264,0.1384672563173225,0.39415723821981,-0.0443004927717279,0.5239228916307569,-0.02544043756753913,0.007437890565462559,0.1197494187967492,-4.8,-5.8
1.056,self_right,none,-0.1798414933415687,0.8544372996948317,-5.760589932773612,-0.151171051416818,-5.341569639995518,1.3923879314667664,-0.18505294535584818,0.06831608408664656,-1.5793261448451676,-1.6476422289318142,4.658430360004482,-0.0981967817885323,0.137452969324634,0.38986230346749523,-0.04315246726567103,0.5271539058865011,-0.024871241811591532,0.006803130671800901,0.12531704162084387,-4.8,-5.8
1.072,self_right,none,-0.18137613386136706,0.856620728794035,-5.7544192523969295,-0.15286481784737313,-5.335388102171615,1.3922936882389978,-0.17651462559273928,0.06793633196003676,-1.5806649086989575,-1.6486012406589943,4.664611897828385,-0.09591503248739722,0.13646431870020223,0.3856675235426147,-0.042108136902603656,0.532015901927914,-0.024793579936382478,0.00618402478178117,0.13045972237749368,-4.8,-5.8
1.088,self_right,none,-0.18288564100147656,0.8587890260045347,-5.748313124930501,-0.15453809235256843,-5.329270863952449,1.3922178894613444,-0.1678787561006838,0.06754551330188084,-1.5819904866284074,-1.649535999930288,4.670729136047551,-0.09434419625684337,0.13551857565623027,0.3816329666517711,-0.04119158076547373,0.5381913494612295,-0.02523791719784377,0.005582584654907552,0.1351228500379508,-4.8,-5.8
