t_s,x_m,y_m,z_m
33.84,-4.62491123253665,1.4716387888986275,8.839403983276132
33.856,-4.6279130694884145,1.47158369422555,8.846725918704397
33.872,-4.630921135515159,1.4715245542954127,8.854028337931744
33.888,-4.6339267522675796,1.4714625172306774,8.861307556368578
33.904,-4.636916220555785,1.4713984013832524,8.868537220204027
33.92,-4.63988236043227,1.4713325275488656,8.875702152253684
33.936,-4.642821365993998,1.4712649160944933,8.882791881979903
33.952,-4.6457318110000285,1.4711948723691965,8.889796125056934
33.968,-4.648614671371547,1.4711211261503698,8.896705829813786
33.984,-4.651472505096546,1.471042123215341,8.903513500319727
34.0,-4.654307759752003,1.4709565194401173,8.91021325184085
34.016,-4.65713742383457,1.4708615307410693,8.916831768875344
34.032,-4.659976035811853,1.4707548012859812,8.923404110416053
34.048,-4.66282814333613,1.4706351314334436,8.929934949664576
34.064,-4.665694599673817,1.4705021058011614,8.936419358391253
34.08,-4.6685747045407995,1.4703559324223314,8.942853996378965
34.096,-4.6714663891278825,1.4701973430388255,8.949237623071054
34.112,-4.674366090137209,1.470027598536226,8.955571249072882
34.128,-4.677268707946354,1.4698484799464555,8.961858182533687
34.144,-4.680167607561599,1.4696622759589097,8.968103997170354
34.16,-4.683054679233175,1.469471753745617,8.97431640113968
34.176,-4.6859204594986625,1.4692801097368813,8.980504994405289
34.192,-4.688754313531462,1.4690908985387943,8.986680906043132
34.208,-4.69154467524962,1.4689079407376615,8.992856308891087
34.224,-4.6942793367844695,1.4687352124428703,8.999043815459089
34.24,-4.6969457724472745,1.4685767217449541,9.005255766572208
34.256,-4.699531474259815,1.468436379855564,9.011503433000652
34.272,-4.70202854298131,1.4683176800313789,9.017807808832217
34.288,-4.704558178425499,1.4682182072353056,9.024545734648338
34.304,-4.7070846140232465,1.4681242781076402,9.031546133271279
34.32,-4.709542940113785,1.4680494722182342,9.038623274515066
34.336,-4.711930727277975,1.467999830327904,9.045837219425154
34.352,-4.714270613394718,1.467974007135286,9.053259751949858
34.368,-4.716574667109199,1.4679682235571494,9.060888291507418
34.384,-4.718845953040143,1.4679807596042393,9.068695266025454
34.4,-4.7210841540267765,1.4680110303009293,9.076656891952252
34.416,-4.723287317106887,1.4680588860873285,9.084752127159305
34.432,-4.7254527832451565,1.4681242813958562,9.09296197073585
34.448,-4.72763562317508,1.4682153639486204,9.101548013236451
34.464,-4.729671585692067,1.4683331915904432,9.109927525967949
34.48,-4.731645076303053,1.468460523795027,9.11831040118086
34.496,-4.733569402863321,1.4685968052441503,9.126700449927261
34.512,-4.735453700211939,1.4687405746533,9.135090630245143
34.528,-4.737304914066184,1.4688904480676832,9.143470493005871
34.544,-4.739127946152955,1.469045376661193,9.151828115217901
34.56,-4.740925661320479,1.4692047249290596,9.160150852629977
34.576,-4.7426946987187515,1.4693684365367095,9.168413616732819
34.592,-4.744427260180965,1.4695372047268869,9.176587971150443
34.608,-4.746118898761695,1.4697120894620503,9.18466161897463
34.624,-4.747764495549564,1.4698941988255299,9.192621888978525
34.64,-4.7493583478939785,1.4700848974129237,9.200458501235783
34.656,-4.750894480068073,1.4702857350075553,9.208163704691911
34.672,-4.752367431152931,1.4704981833899755,9.215731875929698
34.688,-4.753777852603546,1.4707238886675102,9.223180633789841
34.704,-4.755135930741247,1.4709627093119748,9.230551249750533
34.72,-4.756445594902664,1.471214147717884,9.237858853177281
34.736,-4.757009706588989,1.4695968091757594,9.24377168500846
34.752,-4.757957037495587,1.4687604041513322,9.250759361964906
34.768,-4.759010387571951,1.4684637492615975,9.257822906617124
34.784,-4.760056160728923,1.4684775371307683,9.2648369871468
34.8,-4.761086132036396,1.4686627646014185,9.271779413014547
34.816,-4.762094967669956,1.4689445181170906,9.278647278218802
34.832,-4.763086695493464,1.4692801086737768,9.285441202430196
34.848,-4.764069602375338,1.4696445015742023,9.292163158777981
34.864,-4.765055457060394,1.4700219779279011,9.298815717215408
34.88,-4.766058399219743,1.4704018227393902,9.305401736665106
34.896,-4.7670940960588135,1.4707760463976882,9.31192406648507
34.912,-4.768178906673271,1.471138234698042,9.318385196866199
34.928,-4.769329064572084,1.4714830034294246,9.324786830273478
34.944,-4.770566412436819,1.4718056549888336,9.331151092867186
34.96,-4.772017543191348,1.4720983678426318,9.33784150813387
34.976,-4.7736241592684365,1.4723534637104807,9.344709708926352
34.992,-4.775331121457948,1.4725811617644582,9.35157964146314
35.008,-4.77716985853172,1.47277662113021,9.358490949983722
35.024,-4.779166294113278,1.47293756604484,9.365513968524526
35.04,-4.7813143091122985,1.4730657342621556,9.37265648706228
35.056,-4.7835984964969755,1.4731645780286289,9.379900914196584
35.072,-4.78600648213273,1.4732365685507012,9.387229567194325
35.088,-4.788528124548828,1.4732835785672627,9.394625929804013
35.104,-4.79115467125435,1.473307151945283,9.402074670894548
35.12,-4.793988721447317,1.473295950826642,9.4097943293857
35.136,-4.796843677293671,1.4732651905074963,9.417248943702333
35.152,-4.799745045512306,1.4732198045571854,9.424641080092611
35.168,-4.802686755861237,1.4731636719651775,9.432003347008056
35.184,-4.805658298452317,1.4730994077279504,9.43934503832763
35.2,-4.808648880552989,1.4730290940943498,9.446668963679675
35.216,-4.8116484165137,1.472954414099277,9.45397451280988
35.232,-4.814647997934412,1.4728766245945144,9.461258636295193
35.248,-4.817637695168276,1.4727965362773379,9.468508520361294
35.264,-4.820605277978505,1.4727144886472106,9.475696263619815
35.28,-4.823546891271029,1.4726305568213676,9.482812819251007
35.296,-4.826460263772565,1.4725441905134602,9.489847679886795
35.312,-4.8293456023680585,1.4724542067915658,9.496791367514428
35.328,-4.832204948947894,1.4723590546848229,9.503635822883528
35.344,-4.83504137430983,1.4722570864268003,9.510374737304309
35.36,-4.83786381511014,1.472146459756958,9.517018281142935
35.376,-4.840691525309912,1.4720242398800376,9.523605258156882
35.392,-4.843531669980654,1.4718890992166853,9.530152816094658
35.408,-4.846385971424403,1.4717403323159783,9.536655707213857
35.424,-4.84925414331923,1.4715780057616974,9.543109898876656
35.44,-4.85213466098046,1.4714026769475828,9.549513336237071
35.456,-4.855024529382433,1.471215447984902,9.555866183234343
35.472,-4.857919243096182,1.471017953939363,9.56217088837321
35.488,-4.860812761845828,1.4708123593495797,9.56843218760072
35.504,-4.863697549093007,1.4706013361198504,9.574657011797372
