t_s,controller,phase,x,y,z,roll,pitch,yaw,wx,wy,wz,des_yaw,yaw_err,u_yaw_Nm,depth_err,u_depth_Nm,pitch_err,u_pitch_Nm,roll_err,u_roll_Nm,hipR_ref,kneeR_ref,ankleR_ref,hipL_ref,kneeL_ref,ankleL_ref,tau_hipR,tau_kneeR,tau_ankleR,tau_hipL,tau_kneeL,tau_ankleL,wp_idx,wp_x,wp_y,dist_to_wp
0.112,pid_ff,soft_start,0.0014764447256282445,-3.917878653543792e-09,1.2324242853582892,-1.5547444952037946e-17,-0.06380934997647067,3.14159,-4.1475721711392345e-16,-0.6807855775795463,-9.994992492466498e-17,-2.3558991132509175,0.7856961939286684,0.0,0.43242428535828914,0.0,0.11119065002352932,0.0,1.5547444952037946e-17,0.0,0.000737517423314049,-0.001985892526557934,-0.001900978959677398,0.0007375174233139937,-0.0019858925265578567,-0.001900978959677398,0.01425038098936831,-0.012210234644604082,-0.0036081555489335788,0.014250380989340845,-0.012210234644603826,-0.003608155548935687,0,2.5,2.5,3.5344900588133332
0.116,pid_ff,soft_start,0.0015438894308134538,-4.096849235240994e-09,1.2341880793863191,-1.25688543728295e-17,-0.06657455780842508,3.14159,-8.281782110705842e-16,-0.6903168207371183,2.0027915270408227e-15,-2.3558856161234027,0.7857096910561836,0.0,0.4341880793863191,0.0,0.1084254421915749,0.0,1.25688543728295e-17,0.0,0.0008063420765584866,-0.0021924562457299023,-0.0021075763054386474,0.0008063420765584312,-0.002192456245729825,-0.0021075763054386474,0.015298227839760814,-0.01276193036701443,-0.003813465219601973,0.015298227839771018,-0.012761930367002402,-0.0038134652196038727,0,2.5,2.5,3.5344423827422555
0.120,pid_ff,soft_start,0.0016126447783265574,-4.27929772415336e-09,1.2359848552097643,-3.125282414639318e-17,-0.06937704544227788,3.14159,-2.4069429686400195e-15,-0.6996235019527215,1.0609207491360927e-15,-2.3558718563335255,0.7857234508460609,0.0,0.43598485520976427,0.0,0.10562295455772211,0.0,3.125282414639318e-17,0.0,0.0008796558305183785,-0.0024124931216241924,-0.0023276490012227135,0.0008796558305183231,-0.0024124931216241152,-0.0023276490012227135,0.0164401369809684,-0.01337841570828989,-0.0040177742277919355,0.016440136980977606,-0.01337841570828003,-0.004017774227793582,0,2.5,2.5,3.5343937808523878
0.124,pid_ff,soft_start,0.0016827237155777185,-4.4652584772071345e-09,1.2378134653990975,-2.3410672643284156e-17,-0.07221584908153067,3.14159,-7.847245311514815e-16,-0.7086895775619235,1.0516333014793405e-16,-2.355857831268402,0.7857374759111844,0.0,0.4378134653990975,0.0,0.10278415091846932,0.0,2.3410672643284156e-17,0.0,0.0009575708527450955,-0.0026463398031811095,-0.002561533750773115,0.0009575708527450401,-0.0026463398031810323,-0.002561533750773115,0.01766812949911318,-0.014046218066713044,-0.004221968972166888,0.017668129499121776,-0.014046218066717771,-0.004221968972168068,0,2.5,2.5,3.5343442440299313
0.128,pid_ff,soft_start,0.001754139113058374,-4.654765646328511e-09,1.2396727792933653,-2.0458000922569334e-17,-0.0750899563155034,3.14159,2.114026538595492e-15,-0.7175029112903497,-2.479459587740931e-16,-2.355843538329833,0.7857517688497531,0.0,0.43967277929336523,0.0,0.09991004368449659,0.0,2.0458000922569334e-17,0.0,0.0010401966432592492,-0.002894324933269752,-0.0028095592504588525,0.0010401966432591941,-0.002894324933269675,-0.0028095592504588525,0.018975194362693366,-0.014755224596303303,-0.004426644792191093,0.0189751943626831,-0.014755224596306613,-0.00442664479219184,0,2.5,2.5,3.534293763216714
0.132,pid_ff,soft_start,0.0018269039125987025,-4.847853576905893e-09,1.2415616848843634,-2.484391520553197e-17,-0.07799831912248678,3.14159,-2.1024485558415934e-15,-0.7260546130216947,7.798465292191216e-16,-2.3558289749046186,0.7857663322749673,0.0,0.4415616848843633,0.0,0.09700168087751321,0.0,2.484391520553197e-17,0.0,0.0011276400514873947,-0.0031567691995202075,-0.003072046240114879,0.0011276400514873396,-0.0031567691995201303,-0.003072046240114879,0.020355352930492815,-0.015497963355059303,-0.004632248869338548,0.02035535293048228,-0.015497963355061919,-0.004632248869333041,0,2.5,2.5,3.534242329305417
0.136,pid_ff,soft_start,0.0019010312555768042,-5.044557136314945e-09,1.2434790904491475,4.316058234709145e-17,-0.0809398647841025,3.14159,1.8527291106526918e-14,-0.7343385173439317,1.6798630310202968e-15,-2.355814138338884,0.7857811688407024,0.0,0.44347909044914746,0.0,0.09406013521589748,0.0,-4.316058234709145e-17,0.0,0.0012200052931987321,-0.003433985385155747,-0.0033493075538825706,0.001220005293198677,-0.00343398538515567,-0.0033493075538825706,0.021803587136124535,-0.01626893010898184,-0.00483911811359412,0.021803587136132035,-0.016268930108983996,-0.004839118113595674,0,2.5,2.5,3.5341899330489777
0.140,pid_ff,soft_start,0.001976534590723583,-5.2449120159014124e-09,1.2454239259511681,2.91366146510351e-17,-0.08391350498049283,3.14159,-3.429354842033947e-15,-0.7423507294048172,5.608936917187954e-16,-2.3557990259164763,0.7857962812631101,0.0,0.4454239259511681,0.0,0.09108649501950716,0.0,-2.91366146510351e-17,0.0,0.0013173939674418133,-0.003726278419825035,-0.0036416481710502087,0.0013173939674417583,-0.0037262784198249578,-0.0036416481710502087,0.023315736327041654,-0.017064102954522473,-0.00504752574682367,0.023315736327030843,-0.017064102954512172,-0.005047525746821377,0,2.5,2.5,3.534136564984428
0.144,pid_ff,soft_start,0.002053427761502925,-5.448954948362837e-09,1.2473951442296058,5.077225114767886e-17,-0.08691814338824566,3.14159,2.9320043698191733e-15,-0.7500892511293746,9.268089805452918e-16,-2.3557836348414525,0.7858116723381343,0.0,0.4473951442296058,0.0,0.08808185661175433,0.0,-5.077225114767886e-17,0.0,0.0014199050734812412,-0.004033945430434313,-0.003949365266893441,0.0014199050734811861,-0.004033945430434236,-0.003949365266893441,0.02488836754129902,-0.017880560327140575,-0.005257706838653723,0.024888367541290726,-0.017880560327145054,-0.00525770683865483,0,2.5,2.5,3.5340822153711753
0.148,pid_ff,soft_start,0.002131725074199093,-5.656723897058356e-09,1.2493917219943491,4.396444213817145e-17,-0.08995268202702597,3.14159,-5.885428231456217e-16,-0.7575536688421557,3.5634625207517853e-16,-2.3557679622244243,0.7858273449551625,0.0,0.44939172199434907,0.0,0.08504731797297402,0.0,-4.396444213817145e-17,0.0,0.001527635027734376,-0.004357275791979608,-0.004272748263515765,0.001527635027734321,-0.00435727579197953,-0.004272748263515765,0.02651864317939453,-0.018716193364837926,-0.005469877323855432,0.0265186431793882,-0.01871619336484242,-0.005469877323852776,0,2.5,2.5,3.5340268741429255
0.152,pid_ff,soft_start,0.0022114413480323445,-5.868258186864908e-09,1.2514126606426899,3.687375246039821e-17,-0.09301602656797106,3.1415900000000003,1.6025704721056082e-15,-0.7647448940781001,-4.450977012249411e-17,-2.355752005072494,0.7858433021070921,0.0,0.4514126606426898,0.0,0.08198397343202893,0.0,-3.687375246039821e-17,0.0,0.0016406776807080365,-0.004696551178378923,-0.004612078880688991,0.0016406776807079816,-0.004696551178378846,-0.004612078880688991,0.028204195388333332,-0.019569486812796445,-0.005684245535414096,0.02820419538832803,-0.019569486812800938,-0.005684245535415252,0,2.5,2.5,3.533970530872317
0.156,pid_ff,soft_start,0.0022925919488627064,-6.0835985919197246e-09,1.2534569869125056,4.642528740341909e-17,-0.09610709077444038,3.1415900000000003,2.283795862769895e-15,-0.7716649469804406,7.41365713532292e-16,-2.355735760282474,0.7858595468971119,0.0,0.4534569869125056,0.0,0.07889290922555961,0.0,-4.642528740341909e-17,0.0,0.001759124333935205,-0.005052045613304445,-0.0049676311866937274,0.00175912433393515,-0.005052045613304368,-0.0049676311866937274,0.029943014641014,-0.020439354749615456,-0.005901019476962258,0.0299430146410093,-0.020439354749593484,-0.005901019476959743,0,2.5,2.5,3.533913174747156
0.160,pid_ff,soft_start,0.002375192808198973,-6.3027873882402134e-09,1.255523753385623,4.1861477411354994e-17,-0.09922480021466638,3.14159,-1.3739430251934516e-15,-0.7783167745349038,5.499895434745295e-16,-2.3557192246370477,0.7858760825425382,0.0,0.4555237533856229,0.0,0.0757751997853336,0.0,-4.1861477411354994e-17,0.0,0.0018830637569117287,-0.005424025521014733,-0.005339671649159844,0.0018830637569116739,-0.005424025521014656,-0.005339671649159844,0.031733355376763715,-0.02132501814328848,-0.006120410819154308,0.03173335537676201,-0.021325018143308293,-0.006120410819151975,0,2.5,2.5,3.5338547945570453
0.164,pid_ff,soft_start,0.002459260429310193,-6.525868369105673e-09,1.257612038854135,4.723553265473852e-17,-0.10236809535887804,3.14159,-3.2697117418100628e-15,-0.7847040969076651,-2.9020890362136917e-16,-2.3557023948035103,0.7858929123760756,0.0,0.45761203885413493,0.0,0.07263190464112194,0.0,-4.723553265473852e-17,0.0,0.0020125822040330255,-0.005812749777186923,-0.005728459185906951,0.002012582204032971,-0.005812749777186846,-0.005728459185906951,0.033573659392794046,-0.022225914771075397,-0.006342636805953028,0.03357365939280992,-0.022225914771066183,-0.006342636805954078,0,2.5,2.5,3.53379537868913
